"Hood_ID","population.2016","lone.parent.families.perc","avg.income","low.income.pop.perc","non.citizens.perc","immigrants.recent.perc","refugees.perc","vis.minorities.perc","renters.perc","houses.perc","less.than.high.school.perc","high.school.cert.perc","post.sec.or.above.perc","unemployment.rate","youth.perc"
129,29113,19.644,30414,21.3,18.289,7.51,10.116,91.466,18.86,73.121,26.2,29.84,43.94,9.8,12.692
128,23757,20.557,31825,22.6,19.028,7.391,8.04,85.876,27.658,59.055,19.779,29.853,50.417,9.8,14.164
20,12054,19.054,47709,8.2,4.988,1.663,3.858,20.707,20.585,95.991,19.532,28.836,51.632,6.1,10.287
95,30526,13.358,112766,18.3,10.77,3.404,1.523,25.384,61.959,71.751,6.029,16.242,77.71,6.7,12.285
42,27695,16.371,67757,13.7,10.741,5.556,3.791,47.046,39.035,63.216,9.812,22.018,68.192,7.2,9.839
34,15873,20.302,45936,17,15.469,9.567,5.513,34.788,45.977,84.236,12.552,25.556,61.817,7.2,12.191
76,25797,15.46,56526,37.7,32.91,8.885,1.841,62.195,67.938,28.723,2.924,23.977,73.12,10.2,26.612
52,21396,16.804,52035,23.7,23.279,11.921,3.459,68.614,41.238,39.454,6.996,19.653,73.378,7.7,11.661
49,13154,18.182,47246,18.4,16.509,8.448,3.155,65.192,42.234,90.638,11.609,21.381,66.965,8,12.392
39,23236,13.065,123077,9.4,9.714,5.452,1.657,20.96,30.139,86.237,10.695,20.555,68.777,5.5,13.815
112,6577,39.714,33829,28,15.306,5.656,7.982,59.027,66.226,95.094,30.542,28.83,40.628,11.4,13
127,29960,20.698,33256,23.4,17.136,6.77,7.66,72.423,34.958,65.754,19.293,30.89,49.817,8.8,15.387
122,22291,20.84,54360,14.5,6.158,2.236,2.961,26.458,33.207,95.489,15.963,28.575,55.407,8.8,10.879
24,21737,41.91,25989,33,18.696,9.483,18.471,80.849,66.621,82.799,37.843,30.622,31.565,12.7,15.112
69,7727,25.537,48511,24.5,6.116,2.733,4.918,38.517,45.847,97.444,18.725,21.434,59.92,8.5,11.453
108,14257,23.56,34768,17,19.247,10.028,6.944,45.759,50.523,83.261,20.599,24.929,54.472,8.7,11.714
41,9266,10.985,308010,8.8,8.547,3.593,0.917,30.103,9.105,70.679,7.941,19.367,72.757,8,15.325
57,11499,21.939,44557,22.6,12.362,6.002,7.001,27.67,68.049,90.468,16.861,23.241,59.949,8.2,9.088
30,17757,35.198,32483,24.7,17.368,8.333,10.306,65.688,59.522,89.129,29.777,28.94,41.318,10,13.938
71,11669,14.672,63012,20.8,9.368,3.321,3.042,28.844,55.702,70.474,7.56,20.275,72.361,8,8.827
109,9955,21.67,35112,14.2,18.214,6.916,4.47,36.194,35.326,99.321,34.739,25.831,39.43,7.2,12.305
96,10968,10.938,165047,12.5,7.53,2.619,2.279,17.18,59.797,83.457,5.08,17.522,77.346,6.6,9.801
