"Hood_ID","Assault","Auto Theft","Break and Enter","Robbery","Theft Over","Drug.Arrests","Total.crime","male.youth","youth","male.above.15","female.above.15","population.2016","lone.parent.families","lone.parent.families.perc","low.income","middle.income","colSums(a[, -1])","avg.income","people.ei","people.ei.per","median.income","no.hholds.bottom.20per","hholds.bottom.20per.per","low.income.pop","low.income.pop.18.to.64","low.income.pop.perc","low.income.pop.perc.18.to.64","non.citizens","non.citizens.perc","immigrants","immigrants.perc","immigrants.recent","immigrants.recent.perc","refugees","refugees.perc","vis.minorities","vis.minorities.perc","renters","renters.perc","houses","houses.perc","unsuitable.housing","unsuitable.housing.perc","hhlds.mjr.rprs","hhlds.mjr.rprs.perc","unaffordable.housing","unaffordale.housing.perc","less.than.high.school","less.than.high.school.perc","high.school.cert","high.school.cert.perc","post.sec.or.above","post.sec.or.above.perc","unemployed","unemployment.rate","unemployed.males","unemployment.rate.males"
"1",229,277,125,64,36,29,760,2930,5445,13940,14305,33312,1965,0.221783295711061,18230,7025,980,31771,1870,0.0711703139866793,25519.8940520446,7580,0.23,5210,3355,15.8,15.3,5485,0.166793370837768,19230,0.584676193371846,2440,0.0741866828823351,2250,0.0675432276657061,26945,0.819245971419884,3275,0.318734793187348,8150,0.792416140009723,1795,0.174356483729966,500,0.0485908649173955,3270,0.31840311587147,5905,0.212066798347998,8510,0.305620398635303,13425,0.482133237565092,1705,9.6,870,9.2
"2",220,41,34,88,2,24,409,2675,5240,12470,13450,32954,2535,0.293913043478261,18600,4860,410,26548,1890,0.0792618997693437,21442.28,12350,0.38,9155,5095,27.9,24.6,7700,0.23454157782516,21500,0.654888821200122,4720,0.143770941212306,6510,0.197548097347818,28455,0.866737739872068,5455,0.552405063291139,7030,0.711538461538462,3055,0.309367088607595,995,0.100861632032438,3715,0.37658388241257,7895,0.306840264282938,7785,0.302565099106102,10065,0.391177613680529,1785,12.1,890,11.4
"3",45,14,24,17,2,7,109,725,1390,4185,4445,10360,695,0.24777183600713,5565,2000,385,32815,605,0.075909661229611,25653.2807692308,2705,0.27,1800,1045,17.8,16.4,1495,0.147654320987654,5465,0.539753086419753,720,0.0711111111111111,1135,0.109555984555985,6510,0.642962962962963,1245,0.379573170731707,3190,0.972560975609756,520,0.158295281582953,205,0.0625,1065,0.325190839694657,2075,0.247170935080405,2340,0.278737343656939,3980,0.474091721262656,525,10.4,260,9.8
"4",61,23,16,13,1,11,125,700,1360,4300,4595,10529,780,0.270363951473137,5440,2420,435,34418,605,0.0733778047301395,27301.1566037736,2570,0.25,1930,1165,18.6,17.2,1180,0.113954611298889,4975,0.480212355212355,625,0.0603281853281853,925,0.0878525975876152,5365,0.517857142857143,1685,0.438802083333333,3735,0.971391417425228,540,0.140625,265,0.0689206762028609,1185,0.30859375,1960,0.224641833810888,2675,0.306590257879656,4085,0.468194842406877,600,10.9,290,10.4
"5",60,14,12,18,0,9,113,760,1435,3610,4060,9456,885,0.34368932038835,5025,1860,300,32012,460,0.0641562064156206,25362.7115384615,3010,0.32,2195,1215,23.2,20.4,1075,0.113816834303864,4725,0.500264690312335,530,0.0561143462149285,1100,0.116328257191201,6365,0.673901535203812,1470,0.455813953488372,2385,0.740683229813665,570,0.177293934681182,350,0.108695652173913,1080,0.335403726708075,1870,0.244764397905759,2620,0.342931937172775,3155,0.412958115183246,465,10,245,10.5
"6",113,38,35,23,5,12,226,1535,3015,8400,9360,22000,1775,0.298821548821549,11205,4480,1040,36674,1150,0.0685952878019684,26404.398255814,7355,0.33,5470,3050,24.9,22.9,3380,0.153776160145587,11425,0.519790718835305,1830,0.0832575068243858,2980,0.135454545454545,13130,0.597361237488626,3735,0.479768786127168,5190,0.667095115681234,1605,0.20616570327553,665,0.0854755784061697,2730,0.35112540192926,4170,0.235128277417536,5505,0.31040315759797,8075,0.455314350155061,1020,9.9,475,8.8
"7",95,49,36,36,5,6,227,1385,2625,8775,9825,22156,1370,0.216943784639747,10315,5470,1940,44177,1120,0.0629744166432387,32737.22625,4455,0.2,3320,1740,15,13.4,2290,0.103409347482502,10030,0.452821670428894,1210,0.054627539503386,1285,0.057997833543961,8870,0.400451467268623,3925,0.461493239271017,8090,0.950646298472385,945,0.111045828437133,565,0.0663924794359577,2645,0.310810810810811,3440,0.185095507129405,5205,0.280064568200161,9935,0.534570890503094,920,8.5,440,7.8
"8",34,19,26,12,4,3,98,590,1135,4160,5330,10948,715,0.24486301369863,4730,2630,935,45615,525,0.0631389055923031,33342.5228571429,1950,0.19,1480,825,14.6,13.5,850,0.0840751730959446,4645,0.459218981710331,345,0.0341077607513594,745,0.0680489587139203,2745,0.271379139891251,1620,0.391777509068924,3215,0.777509068923821,360,0.0869565217391304,250,0.060459492140266,1325,0.32043530834341,1555,0.179561200923788,2305,0.266166281755196,4805,0.554849884526559,380,7.4,215,8.4
"9",20,21,46,3,1,3,94,920,1810,6230,7190,15535,835,0.190639269406393,6195,3745,2625,101551,640,0.0511590727418066,40788.2094594595,2230,0.15,1600,1005,10.5,10.5,1205,0.0793285055957867,5950,0.391447368421053,515,0.0338815789473684,895,0.0576118442227229,3230,0.212639894667544,2745,0.438848920863309,5215,0.8344,510,0.0815347721822542,390,0.0623501199040767,1900,0.304,1725,0.131931166347992,3175,0.24282982791587,8175,0.625239005736138,510,6.1,250,5.7
"10",14,18,28,19,3,4,86,815,1585,4515,4805,11051,405,0.122541603630862,3745,2540,2560,99055,345,0.038917089678511,51973.4868421053,1035,0.09,800,490,7.2,7.2,665,0.0602355072463768,3360,0.304072398190045,270,0.0244343891402715,320,0.028956655506289,2105,0.190583974649163,595,0.154145077720207,3855,0.998704663212435,100,0.0259067357512953,220,0.0569948186528497,750,0.194552529182879,955,0.10302049622438,2005,0.216289104638619,6315,0.681229773462783,355,6,205,6.7
