Neighbourhood,Neighbourhood Id,Combined Indicators,Pop - Males,Youth 15-24,Pop 15 - 64 years,Visible Minority Category,   Unemployed,   In Labour Force,With Bachelor Degree or Higher,Average Family Income,Low Income Population,Lone Parent Families,Early Development Instrument (EDI),Social Housing Units,Healthy Food Index
West Humber-Clairville,1,N/A,16625,5445,23285,26475,1750,17610,1445,72820,7590,1740,15.33923304,950,23.81942619
Mount Olive-Silverstone-Jamestown,2,N/A,16070,5240,22300,28175,2175,14655,1090,57411,11540,2150,19.53488372,1288,37.5718032
Thistletown-Beaumond Heights,3,N/A,5055,1410,6760,6285,530,4825,650,70838,2350,560,16.03773585,372,42.26492258
Rexdale-Kipling,4,N/A,5130,1355,7165,4425,590,5270,350,69367,2170,670,7.894736842,308,23.31406015
Elms-Old Rexdale,5,N/A,4520,1440,6370,5510,575,4640,260,61196,2790,790,9.782608696,358,24.70674487
Kingsview Village-The Westway,6,N/A,10575,3020,14175,12180,920,9855,765,68145,6760,1580,15.63786008,553,35.69010417
Willowridge-Martingrove-Richview,7,N/A,10635,2625,13690,7915,835,10190,1140,79241,3490,1090,14.68926554,762,30.46117546
Humber Heights-Westmount,8,N/A,4895,1140,6445,2435,405,4885,320,81267,1780,630,9.722222222,688,32.82074657
Edenbridge-Humber Valley,9,N/A,7305,1805,10125,2610,635,7880,795,119581,1660,630,7.01754386,0,46.40512266
Princess-Rosethorn,10,N/A,5430,1580,7250,1810,425,6005,450,144943,950,320,4.651162791,0,39.51515152
Eringate-Centennial-West Deane,11,N/A,8915,2405,12190,5180,735,9635,1025,88741,2130,890,10.95890411,0,10.42735043
Markland Wood,12,N/A,4920,1165,6505,1445,450,5440,470,100337,990,400,8.108108108,0,7.986111111
Etobicoke West Mall,13,N/A,5630,1460,8090,4250,555,5530,520,67704,2020,600,19.04761905,200,15.40540541
Islington-City Centre West,14,N/A,20950,4695,30730,12355,1565,21295,2155,87747,11590,1840,14.24242424,1240,31.01048254
Kingsway South,15,N/A,4340,1100,5690,1005,295,4865,310,191204,470,230,4.819277108,0,43.14723591
Stonegate-Queensway,16,N/A,12255,2495,16810,3890,1095,13650,910,100867,3080,1010,7.547169811,129,31.23447104
Mimico,17,N/A,16525,3010,25300,6700,1195,16325,1385,87901,4390,1300,13.84615385,879,21.58893567
New Toronto,18,N/A,5560,1390,8170,3260,520,5880,510,70398,2410,620,10.41666667,1010,24.8404961
Long Branch,19,N/A,5010,1130,7340,2005,505,5870,345,77549,1520,510,9.210526316,106,28.08128664
Alderwood,20,N/A,5885,1235,8275,1955,500,6735,455,83584,1090,570,12.61261261,77,11.40705842
Humber Summit,21,N/A,6035,1720,7890,7340,645,5800,310,65757,3330,700,9.77443609,133,32.33336298
Humbermede,22,N/A,7475,2225,10440,11725,1030,7845,570,59697,4030,1060,15.07537688,223,20.51637252
Pelmo Park-Humberlea,23,N/A,5165,1370,7395,3240,440,4505,175,76800,1430,530,14,359,21.70634921
Black Creek,24,N/A,10145,3290,14265,17805,1300,9585,450,52499,7940,2190,19.25675676,1564,41.84227479
Glenfield-Jane Heights,25,N/A,14250,4520,19690,23905,1755,13075,670,56582,9610,2920,20.80200501,1511,41.04945851
Downsview-Roding-CFB,26,N/A,16835,4340,23780,18135,1760,17550,1260,61994,7750,2390,15.53672316,571,23.71815138
York University Heights,27,N/A,13650,4750,20015,17710,1545,13590,1140,59770,7950,1780,24.11067194,511,47.0027417
Rustic,28,N/A,4450,1405,6140,6125,605,4170,320,59004,2980,1050,13.08411215,1292,16.54904306
Maple Leaf,29,N/A,4850,1265,6585,4390,360,5205,325,68718,1770,500,9,175,14.41860465
